fileid,mentid,lemma,fp,wh_context,chain,comment
026_C-3,u-MENTION-jmuzerelle_1357567613364,quel,,q,0,
026_C-4,u-MENTION-jmuzerelle_1357653514874,qui,,q,pta:q,
026_C-4,u-MENTION-jmuzerelle_1357658909094,comment,nimporte,,,
026_C-5,u-MENTION-jmuzerelle_1357740121853,qui,,q,cest;sta,
026_C-5,u-MENTION-jmuzerelle_1357747469606,qui,,q,cest;pta:q;sta,genmod
026_C-5,u-MENTION-jmuzerelle_1357749031256,qui,,q,pta:q;sta,
026_C-5,u-MENTION-jmuzerelle_1357752269781,qui,,q,gq;pta:modatt,
027_0000001c,u-MENTION-gpascault_1349683901905,quel,,q,pta:unsure,mismatch
029_0000001e,u-MENTION-gpascault_1349705616658,quel,,hedge,0,
029_C-3,u-MENTION-jmuzerelle_1363704985395,quoi,,q,ms,negociation
029_C-4,u-MENTION-jmuzerelle_1363854906127,quel,excl,,,
029_C-5,u-MENTION-jmuzerelle_1363959454894,quel,,q,0,
029_C-5,u-MENTION-jmuzerelle_1363963928247,qui,,q,pta:modadv,
030_C-4,u-MENTION-jmuzerelle_1367574863565,quel,,q,0,
030_C-4,u-MENTION-jmuzerelle_1367591684453,quel,,q,pta:modverb,
057_0000003a,u-MENTION-jmuzerelle_1378297402272,qui,,q,0,
078_C-3,u-MENTION-jmuzerelle_1358346649572,quel,nimporte,,,
078_C-4,u-MENTION-jmuzerelle_1358415212407,quel,,q,0,
078_C-4,u-MENTION-jmuzerelle_1358418040247,quel,,q,0,qreading
078_C-4,u-MENTION-jmuzerelle_1358419047292,qui,,q,cest;sta,
078_C-4,u-MENTION-jmuzerelle_1358430204434,quel,,q,sta,qreading;prop
078_C-4,u-MENTION-jmuzerelle_1358431062390,qui,,q,pta:q;cest;sta,
078_C-4,u-MENTION-jmuzerelle_1358433134067,quel,,q,cta,
079_C-2,u-MENTION-jmuzerelle_1350138229469,qui,,q,cta;pta:modadv,genmod
096_C-1,u-MENTION-jmuzerelle_1363013139199,quel,,q,0,
096_C-1,u-MENTION-jmuzerelle_1363015935899,qui,rel,,,
096_C-2,u-MENTION-jmuzerelle_1363103247876,quel,,q,0,
096_C-3,u-MENTION-jmuzerelle_1363171116103,quel,,q,sta,prop
131_C-1,u-MENTION-jmuzerelle_1360320908339,quel,,q,0,mismatch
131_C-2,u-MENTION-jmuzerelle_1360592520193,quel,,q,0,
131_C-2,u-MENTION-jmuzerelle_1360593740130,quoi,,q,sta,prop
131_C-2,u-MENTION-jmuzerelle_1360599228220,quel,,q,sta,parexemple
132_C-1,u-MENTION-jmuzerelle_1359714417078,quel,,q,sta,prop
132_C-3,u-MENTION-jmuzerelle_1360227861288,quel,,q,sta,prop
132_C-3,u-MENTION-jmuzerelle_1360228736245,quel,nimporte,,,
132_C-3,u-MENTION-jmuzerelle_1360229075249,quel,,q,ms,prop
132_C-3,u-MENTION-jmuzerelle_1360230810675,quel,,q,sta,
132_C-3,u-MENTION-jmuzerelle_1360234184016,qui,,q,cest;sta,
133_C-2,u-MENTION-jmuzerelle_1364974286158,quel,,q,0,qreading
133_C-2,u-MENTION-jmuzerelle_1364977534298,quel,nimporte,,,
133_C-4,u-MENTION-jmuzerelle_1365155733861,qui,,q,sta,
133_C-4,u-MENTION-jmuzerelle_1365165787171,qui,,q,pta:q,negociation
1PF0305,u-MENTION-jmuzerelle_1365666933336,quel,,q,sta,
1PF0416,u-MENTION-gpascault_1352714782601,quel,,q,sta,
1PF0490,u-MENTION-agoudjo_1330351586946,quel,,q,sta,
215_C,u-MENTION-jmuzerelle_1349076811598,qui,,q,cest;spec:def,negociation
215_C,u-MENTION-jmuzerelle_1349085537101,quel,,q,sta,
216_C,u-MENTION-jmuzerelle_1349797979908,quel,,q,sta,
216_C,u-MENTION-jmuzerelle_1349855796760,qui,rel,,,
216_C,u-MENTION-jmuzerelle_1349856931543,quel,,verb:savoir,0,
542_C-1,u-MENTION-jmuzerelle_1362045930965,quel,,q,sta,
542_C-2,u-MENTION-jmuzerelle_1362155276553,quel,,verb:dépendre,0,
542_C-3,u-MENTION-jmuzerelle_1362497001082,quel,,q,sta,
542_C-3,u-MENTION-jmuzerelle_1362560875718,quel,,q,sta,prop
542_C-3,u-MENTION-jmuzerelle_1362563749382,quel,,q,sta,prop
542_C-3,u-MENTION-jmuzerelle_1362566666364,quel,,q,0,
CO2_ESLO_001_C,u-MENTION-jmuzerelle_1293384614244,quel,,q,cest;sta,rep
CO2_ESLO_001_C,u-MENTION-jmuzerelle_1293647918149,qui,,q,cest;sta,
CO2_ESLO_001_C,u-MENTION-jmuzerelle_1294145921084,quel,,q,sta,
CO2_ESLO_001_C,u-MENTION-jmuzerelle_1294224839673,qui,,q,sta,
CO2_ESLO_002_C,u-MENTION-aboyer_1295380578534,qui,,q,sta,
CO2_ESLO_002_C,u-MENTION-jmuzerelle_1300739009468,quel,,q,sta,prop
CO2_ESLO_002_C,u-MENTION-aboyer_1296393544544,qui,,q,pta:dep;cest,
CO2_ESLO_002_C,u-MENTION-jmuzerelle_1300998821095,quel,,q,sta,
CO2_ESLO_002_C,u-MENTION-jmuzerelle_1301000962143,quel,,quoted,,
CO2_ESLO_002_C,u-MENTION-aboyer_1298371211388,quel,,hedge,sta,gran
CO2_ESLO_002_C,u-MENTION-aboyer_1298395437362,quel,,quoted,,
CO2_ESLO_002_C,u-MENTION-aboyer_1299172384364,quel,,q,0,
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1296132866992,quel,nimporte,,,
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1296832073159,quel,,q,0,mismatch
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1297089962669,quel,,q,ms,
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1297090483817,quel,,q,pta:q,qreading;prop
CO2_ESLO_003_C,u-MENTION-jmuzerelle_1297091847446,quel,,q,ms,
