fileid,wordid,lemma,fp,wh_context,chain,comment,
010_C-5,s21.u3.w7,quel,,q,sta,dta,
010_C-5,s22.u13.w2,quoi,disc,,,,
013_C-1,s13.u6.w9,quel,,q,0,,
013_C-1,s13.u6.w11,quel,,rep,,,
013_C-1,s13.u10.w11,quel,,q,sta,,
013_C-1,s16.u0.w24,quoi,,s,cest,sta,
013_C-1,s20.u5.w61,où,trans,,,,
013_C-2,s1.u4.w12,quel,,hedge,ms,prop,parexemple
013_C-2,s2.u4.w7,où,,q,sta,,
013_C-2,s2.u4.w18,où,,rep,,,
013_C-2,s8.u0.w16,quel,,hedge,sta,,
013_C-2,s8.u30.w8,quel,,verb:demander,pta:q,prop,
013_C-3,s13.u6.w16,quoi,disc,,,,
014_C-1,s13.u6.w4,quel,,q,sta,,
014_C-1,s15.u0.w27,quel,,q,pta:dep,pta:q,prop
014_C-3,s1.u47.w25,quel,,hedge,ms,prop,
014_C-3,s3.u4.w15,quel,,q,ms,prop,parexemple
014_C-3,s3.u35.w10,quel,,hedge,pta:q,negociation,
014_C-3,s5.u13.w0,où,,q,pta:q,sta,
014_C-3,s5.u77.w5,où,,q,0,null,
014_C-4,s3.u0.w17,quel,,q,pta:q,negociation,
014_C-4,s9.u49.w5,quel,trans,,,,
014_C-4,s14.u4.w1,quoi,,q,sta,prop,
014_C-5,s1.u10.w0,qui,,q,pta:q,,
014_C-5,s4.u0.w0,où,,q,sta,,
014_C-5,s12.u6.w3,quel,,q,sta,,
014_C-5,s12.u25.w0,quel,,q,cest,sta,
014_C-5,s18.u0.w1,quel,,q,ms,,
014_C-6,s4.u2.w4,quel,,q,sta,,
014_C-6,s4.u26.w6,quel,,q,0,,
014_C-6,s4.u65.w28,quoi,,q,0,,
014_C-6,s4.u162.w1,où,rel,,,,
015_C-1,s5.u2.w7,où,,hedge,sta,,
015_C-1,s8.u0.w20,où,rel,,,,
015_C-1,s9.u18.w1,quel,,rep,,,
018_C-1,s6.u0.w4,quoi,,q,sta,,
018_C-1,s14.u0.w1,quel,,q,ms,prop,
018_C-2,s8.u6.w6,quel,,q,ms,,
019_C-2,s6.u0.w4,quel,,q,0,prop,
019_C-2,s11.u22.w24,où,,q,pta:q,,
019_C-2,s11.u43.w6,quoi,,q,cest,pta,prop
019_C-3,s4.u0.w8,quel,,q,0,,
020_C-1,s7.u0.w13,qui,,rep,,,
020_C-1,s16.u16.w50,quoi,disc,,,,
020_C-1,s16.u23.w19,quoi,disc,,,,
020_C-2,s21.u0.w11,quel,,q,0,prop,
020_C-2,s23.u20.w1,quel,,q,sta,,
020_C-3,s2.u1.w15,quoi,disc,,,,
020_C-3,s9.u0.w18,quel,,q,dta,ms,parexempl
020_C-3,s12.u3.w6,quoi,,q,sta:modatt,,
021_C-1,s1.u1.w3,quoi,disc,,,,
021_C-1,s7.u74.w20,où,rel,,,,
021_C-1,s8.u0.w11,quel,,q,pta:unsure,,
021_C-1,s8.u0.w15,quel,,rep,,,
021_C-2,s4.u11.w11,où,rel,,,,
021_C-3,s3.u52.w29,quoi,disc,,,,
021_C-3,s4.u26.w70,quel,,q,pta:unsure;cest,,
021_C-4,s3.u61.w20,quoi,disc,,,,
021_C-5,s8.u19.w14,quoi,disc,,,,
021_C-5,s9.u0.w5,quel,,q,ms;cest,,
021_C-6,s12.u22.w3,quel,,q,sta,,
022_00000017,s1.u4.w0,où,,q,sta,clar,
023_00000018,s1.u2.w4,où,,q,0,,
023_C,s11.u12.w14,quoi,disc,,,,
023_C,s23.u20.w7,quel,,q,ms,prop,
023_C,s26.u9.w1,où,,q,pta:q;sta,,
023_C,s26.u9.w6,où,,rep,,,
023_C,s46.u4.w7,quoi,disc,,,,
023_C,s56.u4.w4,où,,q,0,,
024_00000019,s1.u15.w2,quoi,,q,pta:q;cta,prop,
024_C-3,s1.u9.w7,où,nimporte,,,,
024_C-3,s17.u4.w6,quoi,,q,pta:modadv,,
024_C-4,s1.u0.w7,quel,,q,0,,
024_C-4,s2.u12.w4,quoi,,q,sta,prop,
025_C-1,s6.u5.w10,quoi,,q,sta,,
025_C-1,s32.u10.w3,quoi,,q,spec:dem,,
025_C-2,s12.u10.w0,quoi,expr,,,,
025_C-3,s9.u7.w1,quoi,,q,ms,parexemple,
026_C-3,s4.u0.w0,quel,,cond:ex,0,prop,
026_C-3,s6.u29.w0,quel,,quoted,,,
026_C-3,s6.u37.w4,quel,,q,sta,,
026_C-4,s4.u26.w12,quoi,,verb:savoir,0,,
026_C-4,s7.u0.w5,quel,,q,nonspec,,
026_C-4,s15.u5.w29,quoi,disc,,,,
026_C-5,s2.u5.w7,quoi,disc,,,,
028_0000001d,s1.u48.w10,quoi,,q,sta,discont,
029_C-1,s9.u27.w43,quoi,disc,,,,
029_C-2,s5.u16.w53,quel,,q,sta,prop,
029_C-3,s4.u6.w7,quel,,rep,,,
029_C-3,s5.u0.w1,quel,,q,0,prop,
029_C-4,s6.u0.w44,où,nimporte,,,,
029_C-5,s8.u0.w4,quel,,q,sta,,
029_C-5,s9.u9.w61,quoi,,expr,,,
029_C-5,s13.u2.w3,quoi,,q,sta,,
029_C-5,s14.u2.w6,quel,,hedge,pta:q,rep,
030_C-3,s2.u22.w30,quel,,hedge,pta:modatt,prop,
030_C-3,s7.u6.w4,quel,,rep,,,
030_C-3,s12.u0.w4,quel,,q,pta:modadv;ms,,
030_C-4,s11.u9.w3,quoi,disc,,,,
047_00000030,s1.u31.w24,quoi,disc,,,,
057_0000003a,s1.u15.w3,quoi,,q,0,,
078_C-3,s13.u0.w8,quel,,q,sta,,
079_C-1,s27.u0.w1,quel,,q,sta,prop,
079_C-2,s1.u0.w38,quel,,q,pta:unsure,,
079_C-2,s14.u0.w4,quel,,q,pta:q,,
096_C-1,s8.u4.w2,qui,rel,,,,
096_C-1,s19.u0.w4,quoi,,q,ms,prop,
096_C-1,s19.u7.w9,où,trans,,,,
096_C-1,s31.u14.w1,quel,,quoted,,,
096_C-1,s36.u0.w6,quel,,q,cta,,
096_C-1,s36.u6.w1,quel,,q,0,,
096_C-1,s36.u6.w8,quel,,rep,,,
096_C-2,s26.u3.w12,quoi,disc,,,,
096_C-2,s32.u0.w11,quel,,q,pta:q;cest;sta,rep,
096_C-3,s1.u0.w4,où,,q,sta,,
096_C-3,s14.u15.w0,où,,q,pta:unsure,,
096_C-3,s15.u11.w8,quoi,,q,spec:def,,
096_C-3,s15.u17.w55,où,rel,,,,
107_C-1,s16.u10.w36,quel,,q,sta,prop,
107_C-1,s18.u14.w12,quel,,q,pta:modadv,prop,
107_C-1,s26.u6.w139,quoi,disc,,,,
132_C-3,s12.u5.w12,quel,,rep,,,
133_C-1,s4.u22.w28,où,rel,,,,
133_C-2,s2.u3.w0,où,,q,pta:q,,
133_C-2,s9.u0.w1,quel,,q,sta,prop;discont,
133_C-2,s9.u75.w19,quel,expr,,,,
133_C-3,s3.u69.w6,où,,q,ms,,
133_C-3,s7.u7.w2,quoi,,q,0,,
133_C-4,s1.u0.w6,quel,,q,sta,,
133_C-4,s19.u9.w2,quoi,disc,,,,
1AG0155,s1.u1.w29,où,,q,sta,,
1AG0390,s1.u1.w8,où,,hedge,nonspec,,
1AG0499,s1.u24.w10,quoi,disc,,,,
1AG0534,s1.u1.w4,où,,hedge,sta,,
1AG0618,s1.u2.w10,quoi,,q,cest;sta,,
1AP0056,s1.u6.w19,quoi,,q,sta,,
1AP0073,s1.u20.w8,quoi,,q,ms,,
1AP0073,s1.u50.w8,où,,q,sta,,
1AP0078,s1.u17.w1,qui,,rep,,,
1AP0137,s1.u5.w24,où,,q,dta:ign,,
1AP0137,s1.u12.w1,où,,q,0,,
1AP0286,s1.u3.w3,où,,q,sta,,
1AP0329,s1.u1.w1,où,,q,0,,
1PF0162,s1.u6.w7,quoi,disc,,,,
1PF0358,s1.u7.w5,où,,q,cest;sta,,
1PF0424,s1.u1.w3,où,,hedge,ms;pta:unsure,,
1PF0424,s1.u6.w0,où,,q,sta,,
1PF0444,s1.u1.w5,quel,,q,0,,
1PF0447,s1.u3.w41,quel,,verb:dire,0,,
1PF0460,s1.u1.w9,où,,hedge,sta,,
216_C,s1.u321.w27,quoi,disc,,,,
217_C,s1.u58.w4,où,,q,sta,gran,
217_C,s1.u244.w17,quoi,disc,,,,
2AG0361,s1.u1.w3,quel,,hedge,0,,
2AP0092,s1.u1.w28,quoi,disc,,,,
2AP0247,s1.u2.w8,où,,hedge,sta,,
2AP0261,s1.u6.w2,quel,,rep,sta,,
542_C-1,s3.u14.w13,quoi,disc,,,,
542_C-1,s7.u47.w5,quoi,,q,sta,prop,
542_C-1,s10.u43.w0,où,,q,ms,,
542_C-2,s1.u5.w51,quoi,disc,,,,
542_C-2,s2.u24.w60,quoi,disc,,,,
542_C-2,s5.u35.w16,quoi,,q,ms,parexemple,
542_C-2,s5.u71.w2,où,,verb:dépendre,cest;pta:cond,gran,
542_C-3,s1.u0.w25,quoi,,q,pta:modverb,,
542_C-3,s1.u0.w30,quoi,,q,pta:unsure,,
542_C-3,s3.u5.w18,quoi,disc,,,,
542_C-3,s4.u8.w38,quoi,disc,,,,
542_C-3,s4.u35.w5,où,,q,pta:q,,
542_C-3,s4.u36.w2,où,,quoted,,,
542_C-3,s5.u0.w11,quel,,q,pta:unsure,prop,
542_C-3,s6.u4.w307,où,disc,,,,
542_C-3,s7.u23.w4,quel,,q,cta,prop,
542_C-3,s7.u23.w5,quel,,rep,,,
542_C-3,s7.u23.w15,quel,,q,pta:unsure,gran,
542_C-3,s7.u24.w25,quel,expr,,,,
542_C-3,s10.u5.w4,quel,,q,sta,,
CO2_ESLO_001_C,s13.u3.w30,quoi,disc,,,,
CO2_ESLO_001_C,s20.u7.w1,où,,q,sta:asker,prop,
CO2_ESLO_001_C,s24.u11.w0,qui,,q,cta,,
CO2_ESLO_001_C,s30.u24.w3,qui,,q,sta:gq,,
CO2_ESLO_001_C,s39.u0.w4,quel,,q,spec:poss;cest;sta,,
CO2_ESLO_001_C,s42.u6.w13,quoi,,q,pta:modatt;ms,prop,
CO2_ESLO_001_C,s43.u4.w9,quoi,,q,sta,,
CO2_ESLO_001_C,s58.u4.w2,quel,,q,sta,,
CO2_ESLO_001_C,s66.u11.w0,quel,,q,sta,,
CO2_ESLO_002_C,s38.u21.w43,quoi,disc,,,,
CO2_ESLO_002_C,s38.u23.w5,quel,,q,pta:q;cest,,
CO2_ESLO_002_C,s38.u156.w1,quel,,q,sta,prop,
CO2_ESLO_002_C,s38.u278.w9,quoi,,q,sta,,
CO2_ESLO_002_C,s38.u445.w3,quoi,,q,sta,,
CO2_ESLO_002_C,s38.u739.w24,quoi,,expr,,,
CO2_ESLO_003_C,s1.u7.w0,où,,q,pta:q,negociation,
